City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc
1236,Vaini,TO,-21.2,-175.2,69.96,100,75,5.75,light rain
1237,Esperance,AU,-33.8667,121.9,55.24,80,5,22.53,clear sky
1238,Ryotsu,JP,38.0833,138.4333,77.61,84,100,4.56,light rain
1239,Kapaa,US,22.0752,-159.319,75.52,81,90,9.22,light rain
1240,Kapaa,US,22.0752,-159.319,75.52,81,90,9.22,light rain
1241,San Patricio,US,28.017,-97.5169,89.69,57,14,11.68,few clouds
1242,Atuona,PF,-9.8,-139.0333,76.86,73,23,18.12,few clouds
1243,Cabo San Lucas,MX,22.8909,-109.9124,87.51,74,2,10.0,clear sky
1244,Constantine,DZ,36.365,6.6147,95.29,23,0,11.7,clear sky
1245,Punta Arenas,CL,-53.15,-70.9167,33.91,69,75,6.91,broken clouds
1246,Yamada,JP,39.4667,141.95,71.87,99,100,2.37,overcast clouds
1247,Hermanus,ZA,-34.4187,19.2345,59.81,60,4,10.29,clear sky
1248,Tenkodogo,BF,11.78,-0.3697,88.0,56,88,5.17,overcast clouds
1249,Port Alfred,ZA,-33.5906,26.891,62.13,62,0,18.45,clear sky
1250,Bonavista,CA,48.6499,-53.1147,62.11,75,93,11.5,overcast clouds
1251,Punta Arenas,CL,-53.15,-70.9167,33.91,69,75,6.91,broken clouds
1252,Nikolskoye,RU,59.7035,30.7861,63.01,77,75,5.23,broken clouds
1253,Mataura,NZ,-46.1927,168.8643,41.49,87,29,3.78,light rain
1254,Lebu,CL,-37.6167,-73.65,51.31,92,100,32.79,overcast clouds
1255,Rikitea,PF,-23.1203,-134.9692,68.85,53,76,17.83,broken clouds
1256,Saint-Pierre,RE,-21.3393,55.4781,73.04,73,0,3.44,clear sky
1257,Jamestown,US,42.097,-79.2353,80.29,83,43,2.37,scattered clouds
1258,Mataura,NZ,-46.1927,168.8643,41.49,87,29,3.78,light rain
1259,Avarua,CK,-21.2078,-159.775,69.85,94,100,3.44,overcast clouds
1260,Xining,CN,36.6167,101.7667,55.26,91,100,1.12,overcast clouds
1261,Filadelfia,US,39.9523,-75.1638,82.71,79,75,3.0,broken clouds
1262,Baykit,RU,61.67,96.37,52.95,68,90,3.8,overcast clouds
1263,Santiago Del Estero,AR,-27.7951,-64.2615,64.8,43,0,3.85,clear sky
1264,Victoria,HK,22.2855,114.1577,86.32,80,100,1.99,overcast clouds
1265,Esperance,AU,-33.8667,121.9,55.24,80,5,22.53,clear sky
1266,Ishigaki,JP,24.3448,124.1572,82.69,75,23,6.67,few clouds
1267,Hobart,AU,-42.8794,147.3294,53.46,74,75,1.01,broken clouds
1268,Bogale,MM,16.2833,95.4,80.89,84,78,6.24,broken clouds
1269,Dikson,RU,73.5069,80.5464,42.82,95,100,20.42,overcast clouds
1270,Sobolevo,RU,54.4299,31.8996,66.51,71,84,9.35,light rain
1271,Hithadhoo,MV,-0.6,73.0833,83.37,71,1,12.82,clear sky
1272,Rikitea,PF,-23.1203,-134.9692,68.85,53,76,17.83,broken clouds
1273,Konevo,RU,62.1215,39.3192,66.96,58,51,1.14,broken clouds
1274,Vaini,TO,-21.2,-175.2,69.96,100,75,5.75,light rain
1275,Hilo,US,19.7297,-155.09,72.63,92,17,1.01,few clouds
1276,Barinitas,VE,8.7622,-70.4111,81.01,69,18,3.53,few clouds
1277,Dikson,RU,73.5069,80.5464,42.82,95,100,20.42,overcast clouds
1278,Erenhot,CN,43.6475,111.9767,70.72,46,66,22.37,broken clouds
1279,Busselton,AU,-33.65,115.3333,53.1,73,80,16.49,broken clouds
1280,Mataura,NZ,-46.1927,168.8643,41.49,87,29,3.78,light rain
1281,Faya,SA,18.3851,42.4509,73.92,38,94,0.31,overcast clouds
1282,Prachuap Khiri Khan,TH,12.2167,99.75,75.29,87,75,2.46,broken clouds
1283,Castro,BR,-24.7911,-50.0119,78.69,30,0,4.88,clear sky
1284,Jamestown,US,42.097,-79.2353,80.29,83,43,2.37,scattered clouds
1285,Ushuaia,AR,-54.8,-68.3,35.22,80,0,5.75,clear sky
1286,New Norfolk,AU,-42.7826,147.0587,53.1,76,100,1.99,overcast clouds
1287,Kodiak,US,57.79,-152.4072,48.92,70,100,3.38,overcast clouds
1288,Barrow,US,71.2906,-156.7887,42.82,87,90,19.57,fog
1289,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,61,0,10.36,clear sky
1290,Khatanga,RU,71.9667,102.5,44.24,85,100,5.99,overcast clouds
1291,Lingig,PH,8.0389,126.4125,77.56,87,100,1.68,overcast clouds
1292,Phayao,TH,19.25,100.25,73.26,95,79,2.82,broken clouds
1293,Albany,US,42.6001,-73.9662,82.15,81,94,5.14,overcast clouds
1294,Ushuaia,AR,-54.8,-68.3,35.22,80,0,5.75,clear sky
1295,Qaanaaq,GL,77.484,-69.3632,38.44,82,100,4.29,overcast clouds
1296,New Norfolk,AU,-42.7826,147.0587,53.1,76,100,1.99,overcast clouds
1297,Mataura,NZ,-46.1927,168.8643,41.49,87,29,3.78,light rain
1298,Anloga,GH,5.7947,0.8973,75.24,89,100,12.46,light rain
1299,Puerto Penasco,MX,31.3167,-113.5333,84.9,68,0,10.0,clear sky
1300,Concarneau,FR,47.875,-3.9225,70.05,69,18,13.44,few clouds
1301,Deputatskiy,RU,69.3,139.9,57.43,65,100,4.18,overcast clouds
1302,Grand-Santi,GF,4.25,-54.3833,91.17,49,47,3.78,scattered clouds
1303,Ilheus,BR,-14.7889,-39.0494,79.03,56,7,8.01,clear sky
1304,Barrow,US,71.2906,-156.7887,42.82,87,90,19.57,fog
1305,Hobart,AU,-42.8794,147.3294,53.46,74,75,1.01,broken clouds
1306,Albany,US,42.6001,-73.9662,82.15,81,94,5.14,overcast clouds
1307,Puerto Ayora,EC,-0.7393,-90.3518,71.56,96,95,5.01,light rain
1308,Atuona,PF,-9.8,-139.0333,76.86,73,23,18.12,few clouds
1309,Khatanga,RU,71.9667,102.5,44.24,85,100,5.99,overcast clouds
1310,Kyabe,TD,9.4515,18.9449,78.13,88,89,3.76,moderate rain
1311,Kichera,RU,55.9375,110.0997,57.18,75,79,6.89,broken clouds
